EIA_ID,plant,state,USGS_ID,USGS_ID_turbinerelease,USGS_ID_totalrelease,USGS_ID_update,notes,alt_ID_turbinerelease,alt_source_turbinerelease,alt_ID_totalrelease,alt_source_totalrelease,update_flag
215,Angels,CA,11303500,,,,NA; no gauge,,,,,0
242,Hamilton Branch,CA,11425500,,,,NA; no gauge,,,,,0
261,Murphys,CA,11303500,,,,NA; no gauge,,,,,0
359,San Gorgonio 2,CA,NA,,,,NA; no gauge,,,,,0
457,Bear Valley,CA,11078000,,,,NA; no gauge,,,,,0
839,Scott Flat,CA,11425500,,,,NA; no gauge,,,,,0
846,Combie South,CA,11425500,,,,NA; no gauge,,,,,0
847,Combie North,CA,11425500,,,,NA; no gauge,,,,,0
6449,Azusa,CA,NA,,,,NA; no gauge,,,,,0
6479,San Francisquito 1,CA,11078000,,,,NA; no gauge,,,,,0
6480,San Francisquito 2,CA,11078000,,,,NA; no gauge,,,,,0
6644,Lake Mathews,CA,NA,,,,NA; no gauge,,,,,0
6645,Foothill Feeder,CA,NA,,,,NA; no gauge,,,,,0
6646,San Dimas,CA,NA,,,,NA; no gauge,,,,,0
6647,Yorba Linda,CA,NA,,,,NA; no gauge,,,,,0
7077,Sawtelle,CA,11078000,,,,NA; no gauge,,,,,0
7151,Stony Gorge,CA,11425500,,,,NA; no gauge,,,,,0
7942,Diamond Valley Lake,CA,11078000,,,,NA; no gauge,,,,,0
10162,Whitewater Hydro Plant,CA,NA,,,,NA; no gauge,,,,,0
10282,Big Creek Water Works,CA,NA,,,,NA; no gauge,,,,,0
55009,Montgomery Creek Hydro,CA,NA,,,,NA; no gauge,,,,,0
59428,Baker Creek Diversion,CA,NA,,,,NA; no gauge,,,,,0
50147,R E Badger Filtration Plant,CA,NA,,,,NA; no gauge,,,,,0
50156,Nichols,CA,NA,,,,NA; no gauge,,,,,0
50218,Woodward Power Plant,CA,11303500,,,,NA; no gauge,,,,,0
50219,Frankenheimer Power Plant,CA,NA,,,,NA; no gauge,,,,,0
50233,San Dimas Wash Generating Station,CA,NA,,,,NA; no gauge,,,,,0
50322,Madera Canal (Site 980 65),CA,NA,,,,NA; no gauge,,,,,0
50375,East Portal Generator,CA,NA,,,,NA; no gauge,,,,,0
50492,Point Loma,CA,NA,,,,NA; no gauge,,,,,0
50961,Slate Creek,CA,NA,,,,NA; no gauge,,,,,0
54017,San Gabriel Hydro Project,CA,11078000,,,,NA; no gauge,,,,,0
54308,Three Forks Water Power Project,CA,NA,,,,NA; no gauge,,,,,0
474,Salida No. 1,CO,7134180,,,,NA; no gauge,,,,,0
475,Salida No. 2,CO,NA,,,,NA; no gauge,,,,,0
54680,Betasso,CO,NA,,,,NA; no gauge,,,,,0
55931,Boulder City Silver Lake Hydro,CO,6764880,,,,NA; no gauge,,,,,0
814,Clear Lake,ID,NA,,,,NA; no gauge,,,,,0
820,Thousand Springs,ID,NA,,,,NA; no gauge,,,,,0
830,Paris,ID,NA,,,,NA; no gauge,,,,,0
845,Soda Spgs-Hooper,ID,10068500,,,,NA; no gauge,,,,,0
7150,Soda Creek,ID,10068500,,,,NA; no gauge,,,,,0
7718,Buffalo,ID,13154500,,,,NA; no gauge,,,,,0
10049,Little Mac Project,ID,NA,,,,NA; no gauge,,,,,0
10140,Birch Creek Power,ID,NA,,,,NA; no gauge,,,,,0
10296,Lowline Canal Drop Hydro,ID,NA,,,,NA; no gauge,,,,,0
10325,Mink Creek Hydro,ID,NA,,,,NA; no gauge,,,,,0
54674,Ford Hydro LP,ID,NA,,,,NA; no gauge,,,,,0
54753,Lateral No. 10,ID,NA,,,,NA; no gauge,,,,,0
56498,Mora Drop Hydroelectric Project,ID,NA,,,,NA; no gauge,,,,,0
10781,Koyle Ranch Hydroelectric Project,ID,NA,,,,NA; no gauge,,,,,0
10138,South Dry Creek Hydro,MT,NA,,,,NA; no gauge,,,,,0
159,Lake Creek,UT,NA,,,,NA; no gauge,,,,,0
925,Ephraim City,UT,NA,,,,NA; no gauge,,,,,0
3651,Granite,UT,NA,,,,NA; no gauge,,,,,0
3658,Snake Creek,UT,NA,,,,NA; no gauge,,,,,0
3659,Stairs,UT,NA,,,,NA; no gauge,,,,,0
3666,Brigham City,UT,10068500,,,,NA; no gauge,,,,,0
3668,Ephraim City No. 3,UT,NA,,,,NA; no gauge,,,,,0
3673,Snake Creek,UT,NA,,,,NA; no gauge,,,,,0
3679,Lower Monroe,UT,NA,,,,NA; no gauge,,,,,0
3680,Upper Monroe,UT,NA,,,,NA; no gauge,,,,,0
3681,Lower-Unit,UT,10217000,,,,NA; no gauge,,,,,0
3682,Upper-Unit,UT,10217000,,,,NA; no gauge,,,,,0
3685,Center Creek,UT,NA,,,,NA; no gauge,,,,,0
3688,Bartholomew,UT,NA,,,,NA; no gauge,,,,,0
3689,Hobble Creek,UT,NA,,,,NA; no gauge,,,,,0
3690,Spring Creek,UT,10172630,,,,NA; no gauge,,,,,0
3692,Payson,UT,NA,,,,NA; no gauge,,,,,0
3699,Boulder Creek,UT,NA,,,,NA; no gauge,,,,,0
6537,Little Cottonwood,UT,NA,,,,NA; no gauge,,,,,0
6538,Red Creek,UT,10217000,,,,NA; no gauge,,,,,0
7015,Unit 4,UT,10217000,,,,NA; no gauge,,,,,0
7016,Unit 3,UT,10172630,,,,NA; no gauge,,,,,0
7027,Upper Bartholomew,UT,NA,,,,NA; no gauge,,,,,0
7362,Pine Valley,UT,NA,,,,NA; no gauge,,,,,0
7590,Lower Boulder,UT,9333500,,,,NA; no gauge,,,,,0
3892,Calispel,WA,12433000,,,,NA; no gauge,,,,,0
3929,Packwood,WA,14246900,,,,NA; no gauge,,,,,0
54860,Black Creek,WA,NA,,,,NA; no gauge,,,,,0
