eia_id,huc4
1516,0101
1513,0101
54134,0102
55288,0102
10255,0102
50699,0102
57184,0102
59438,0102
1478,0102
59437,0102
1475,0102
10555,0103
1492,0103
1511,0103
1510,0103
10186,0103
1509,0103
1504,0103
10066,0103
54148,0103
54124,0103
10523,0103
1499,0103
1500,0103
1498,0103
1497,0103
50688,0103
50999,0104
10570,0104
50741,0104
54639,0104
2368,0104
2358,0104
10493,0104
50082,0104
50047,0104
50081,0104
50080,0104
1488,0104
1480,0104
1491,0104
805,0104
7047,0104
54202,0104
54123,0104
10728,0104
52171,0104
50278,0104
1483,0104
50758,0104
10613,0105
1469,0105
1501,0106
50447,0106
9858,0106
1493,0106
7669,0106
7668,0106
7667,0106
1482,0106
1508,0106
1481,0106
1505,0106
1486,0106
7401,0106
7402,0106
7403,0106
10059,0106
10519,0106
54418,0106
50704,0106
50702,0106
7395,0107
2355,0107
50324,0107
2356,0107
54572,0107
10276,0107
10109,0107
58712,0107
2360,0107
10036,0107
54384,0107
50351,0107
50353,0107
50414,0107
10824,0107
10825,0107
10183,0107
10694,0107
2357,0107
50312,0107
50103,0107
50384,0107
2354,0107
2359,0107
10556,0107
50545,0107
3750,0108
3721,0108
3707,0108
3762,0108
3763,0108
3743,0108
3713,0108
3718,0108
788,0108
10608,0108
2351,0108
2349,0108
6483,0108
10526,0108
50539,0108
3709,0108
2353,0108
54471,0108
590,0108
10137,0108
3727,0108
50126,0108
50285,0108
3710,0108
3745,0108
59040,0108
59089,0108
50901,0108
2352,0108
6388,0108
1629,0108
3780,0301
1605,0108
1603,0108
1602,0108
1608,0108
9864,0108
1607,0108
54981,0108
1604,0108
3746,0108
6529,0108
1620,0108
6012,0108
6132,0306
8004,0108
6119,0108
6047,0108
6083,0108
1634,0108
50889,0108
1638,0108
50832,0108
52166,0108
6378,0108
1637,0108
6379,0108
50166,0108
61640,0108
1630,0108
54302,0108
559,0108
10823,0109
50601,0109
50177,0109
55860,0110
557,0110
554,0110
560,0110
541,0110
6087,0307
552,0110
553,0110
10063,0110
54385,0110
10218,0202
6527,0202
2614,0202
50280,0202
52067,0202
10853,0202
10852,0202
10219,0202
10902,0202
2607,0202
54580,0202
2609,0202
2612,0202
54772,0202
56936,0202
10530,0202
54953,0202
50514,0202
2489,0202
2580,0202
2606,0202
50034,0202
625,0202
54395,0202
2584,0202
61207,0202
2619,0202
2599,0202
808,0202
50354,0202
52057,0202
51034,0202
10238,0202
2543,0202
2579,0202
2560,0202
2686,0202
2605,0202
10467,0202
2685,0202
10221,0202
6130,0315
50031,0202
50123,0202
58873,0202
88,0202
10848,0202
2481,0202
2486,0202
51033,0202
579,0202
54573,0202
50311,0203
52068,0203
2627,0204
3153,0204
2631,0204
2630,0204
2634,0204
2483,0204
2780,0602
50079,0205
10152,0205
7128,0205
3117,0205
3175,0205
3145,0205
6140,0711
1574,0205
6544,0207
6543,0207
6545,0207
3792,0207
3790,0207
3789,0207
3793,0207
6546,0207
6168,0208
187,0804
3798,0208
50479,0208
3821,0208
56313,0208
3779,0208
56314,0208
10155,0208
3778,0301
518,1019
3777,0301
3833,0301
7516,0301
3825,0301
54801,0301
3834,0301
3826,0301
54655,0301
50178,0301
2756,0301
2758,0301
50175,0301
50468,0302
10258,0303
58390,0303
10051,0303
54897,0304
54896,0304
54895,0304
54894,0304
2714,0304
2707,0304
2719,0305
2730,0305
2726,0305
2729,0305
2728,0305
2722,0305
3271,0305
10550,0305
2733,0305
3255,0305
3259,0305
3256,0305
3257,0305
3270,0305
2736,0305
2735,0305
2773,0305
54675,0305
52049,0305
58257,0305
3258,0305
3272,0305
10173,0305
3275,0305
3289,0305
145,1506
3290,0305
3283,0305
10787,0305
10800,0305
10799,0305
3267,0305
3253,0305
10801,0305
3261,0305
3254,0305
3293,0305
3321,0305
6789,0305
3319,0305
148,1506
6163,1702
6517,0306
718,0306
704,0306
723,0306
724,0306
725,0306
729,0306
3305,0306
754,0306
437,1802
3323,0306
736,0306
54462,0306
54322,0306
61000,0306
7191,0307
10121,0307
438,1802
722,0307
54872,0307
50242,0307
712,0307
759,0313
717,0313
6133,0313
721,0313
702,0313
720,0313
707,0313
719,0313
761,0313
690,0313
752,0313
706,0313
53,0314
55,0314
392,1807
57854,1807
760,0315
20,0315
11,0315
14,0315
15,0315
17,0315
13,0315
6188,0315
16,0315
21,0315
19,0315
4,0315
6131,0315
38,0315
18,0316
2,0316
12,0316
1899,0401
1895,0401
50639,0401
1901,0401
1894,0401
1757,0401
1756,0401
3989,0401
1774,0402
1773,0402
7116,0402
1842,0402
1839,0402
7115,0402
7117,0402
4147,0403
4044,0403
50439,0403
4061,0403
4065,0403
4067,0403
4074,0403
4071,0403
4070,0403
1821,0403
1779,0403
1775,0403
1785,0403
1777,0403
1780,0403
1781,0403
4045,0403
59836,0403
7820,0403
7821,0403
1778,0403
57190,0403
1848,0403
1776,0403
1786,0403
1787,0403
50408,0403
50409,0403
7118,0403
1771,0403
7390,0403
7812,0403
6454,0403
4058,0403
4047,0403
4119,0403
4122,0403
54679,0403
4043,0403
54885,0403
7822,0403
4201,0403
10054,0403
54016,0403
1863,0405
1856,0405
1760,0405
1761,0405
986,0405
989,0405
10656,0405
1754,0405
1753,0405
1844,0405
1694,0405
1833,0405
1722,0405
7804,0405
7800,0405
7801,0405
50433,0405
50436,0405
1828,0406
547,0108
1716,0406
1707,0406
1701,0406
1708,0406
1698,0406
4248,0406
1865,0420
1751,0420
50461,0407
1871,0407
1688,0407
54342,0407
54341,0407
54340,0407
1714,0407
1693,0407
1712,0407
1704,0407
1700,0407
1705,0407
50159,0408
50160,0408
50157,0408
50158,0408
1852,0408
50437,0410
7657,0410
2693,0427
8005,0108
2592,0413
2568,0413
2623,0413
2578,0413
2646,0413
10025,0413
2639,0413
2641,0413
2638,0413
2545,0414
2582,0414
61642,0414
61641,0414
10286,0414
2542,0414
54865,0414
2566,0414
2569,0414
2595,0414
2596,0414
2586,0414
2621,0414
2574,0414
50768,0414
10687,0414
10817,0414
56705,0414
56704,0414
50652,0414
10196,0414
56703,0414
2588,0414
50513,0414
2557,0414
2610,0414
2555,0414
2559,0414
2617,0414
2544,0414
2575,0414
10490,0414
54691,0414
10545,0414
10872,0414
2572,0414
2552,0414
54548,0414
50416,0414
50759,0414
2700,0414
10531,0414
2581,0414
2546,0414
2608,0414
10538,0414
50512,0414
10540,0414
2694,0429
10237,0429
10124,0429
2548,0429
2563,0429
58679,0429
2604,0429
58678,0429
7583,0429
10116,0429
453,0429
743,0429
10544,0429
6572,0429
54878,0429
2573,0429
2556,0429
52058,0429
10197,0429
10539,0429
10547,0429
2598,0429
2547,0429
2613,0429
2611,0429
2562,0429
2600,0429
2616,0429
2571,0429
2551,0429
2576,0429
2601,0429
2590,0429
2561,0429
2591,0429
50268,0429
50269,0429
2624,0429
10220,0429
2597,0429
2540,0429
2550,0429
2583,0429
50315,0430
50093,0430
6456,0430
3714,0430
3719,0430
3722,0430
6453,0430
6450,0430
3725,0430
3724,0430
50713,0430
6451,0430
3728,0430
3716,0430
6519,0430
3739,0430
7051,0430
3740,0430
52033,0430
6520,0430
7056,0430
3737,0430
54355,0430
6475,0430
6526,0430
54391,0430
6477,0430
678,0430
3765,0430
3764,0430
3712,0430
3720,0430
3717,0430
3711,0430
2564,0430
50176,0430
2530,0430
2522,0430
6486,0430
2532,0430
10214,0430
3733,0430
4246,0430
3757,0430
6618,0430
10494,0430
10753,0430
10752,0430
3731,0430
3729,0430
3753,0430
539,0110
3124,0501
58685,0501
50897,0501
50898,0501
50894,0501
50893,0501
52173,0501
6636,0502
1567,0502
52036,0502
10285,0503
10546,0503
50036,0503
57401,0503
7594,0503
6006,0503
2782,0505
10798,0505
3773,0505
3772,0505
3774,0505
3827,0505
50011,0505
56333,0505
50010,0505
6560,0505
6561,0505
6562,0505
7279,0506
7807,0508
4258,0509
56872,0509
1005,0509
1354,0510
1359,0510
998,0512
999,0512
6171,0513
1380,0513
3424,0513
3423,0513
3404,0513
6417,0513
3426,0513
3428,0513
6418,0513
1371,0513
1365,0514
57399,0514
57400,0514
3416,0601
3395,0601
3401,0601
