dam,EIA_ID,max_param,min_param,ador_param
ALF,851,0.21416638823922482,0.8024140204951027,0.4285714285714286
DWR,840,0.08354515632675333,0.9534152271206053,0.38095238095238093
GCL,6163,0.36130427657221786,0.2827331717256457,0.7193054466435762
HGH,2203,0.024429626351445608,0.8851677681451942,0.31501831501831506
IHR,3925,0.3451170576179996,0.4105524844786538,0.6150401238906624
LGS,3926,0.23849438006889007,0.5204883042593824,0.5980064806987884
LMN,3927,0.26240542156188573,0.49505833708352154,0.5899613899613899
LWG,6175,0.21971782751898572,0.5284609210566512,0.603012259318915
PRD,3887,0.5324449354871454,0.5910819251412263,0.6524553731753375
RIS,6200,0.39650886891455983,0.12977586668921492,0.7288022351797863
RRH,3883,0.5671053585952677,0.24041754105095625,0.7242694494663475
WAN,3888,0.4790762689500653,0.31232821133556254,0.6797676494071989
WEL,3886,0.8000119044080186,0.2587897133709531,0.7506631556840762
DEX,3078,0.26557377049180325,0.7879924953095685,0.4285714285714286
GPR,3080,0.47717064948640525,0.30825688073394497,0.4523809523809524
HCR,3081,0.176651398394137,0.7788079470198677,0.4
LOP,3083,0.3351955307262569,0.5234062949352932,0.5006211180124224
BCL,3074,0.21346302351636115,0.8185140558817079,0.42622950819672134
DET,3077,0.36761185723758194,0.5177207977207977,0.6554328948478745
FOS,6552,0.24210526315789452,0.75505617977528094,0.45714285714285713
LOS,6174,0.08919202518363066,0.9185808837662585,0.42857142857142855
JDA,3082,0.35082152618516543,0.601962745043478,0.6127964699393271
BON,3075,0.2530169282638145,0.7556103304325096,0.5006082253635031
CHJ,3921,0.6122792932481048,0.32128069226608974,0.7063388182498129
MCN,3084,0.4212917794162545,0.6745909409388781,0.5620527915989753
TDA,3895,0.2719531057291341,0.618018744014945,0.5991587474684531
CGR,3076,0.14160583941605842,0.8357219115224446,0.4285714285714286
